date,SPY,TLT,GLD,BTC-USD
2023-06-20,422.263611,91.625183,179.750000,28327.488281
2023-06-21,420.100098,91.846931,179.490005,30027.296875
2023-06-22,421.616486,90.738297,177.710007,29912.281250
2023-06-23,418.429108,91.642944,178.199997,30695.468750
2023-06-26,416.719513,91.740463,178.509995,30271.130859
2023-06-27,421.288116,91.501022,177.690002,30688.164062
2023-06-28,421.500610,91.891258,177.279999,30086.246094
2023-06-29,423.161926,90.232758,177.089996,30445.351562
2023-06-30,428.155457,91.297020,178.270004,30477.251953
2023-07-03,428.648163,90.779457,178.470001,31156.439453
2023-07-05,428.010681,89.916840,177.839996,30514.166016
2023-07-06,424.659088,88.645172,177.309998,29909.337891
2023-07-07,423.586914,88.111565,178.639999,30342.265625
2023-07-10,424.659088,88.227180,178.779999,30414.470703
2023-07-11,427.363525,88.680717,179.449997,30620.951172
2023-07-12,430.802032,89.667847,181.880005,30391.646484
2023-07-13,434.221283,90.610497,182.009995,31476.048828
2023-07-14,433.950806,90.076897,181.429993,30334.068359
2023-07-17,435.457550,90.121391,181.559998,30145.888672
2023-07-18,438.693268,90.530472,183.639999,29856.562500
2023-07-19,439.668823,91.553154,183.669998,29913.923828
2023-07-20,436.751831,90.441544,182.740005,29792.015625
2023-07-21,436.751831,90.468216,182.179993,29908.744141
2023-07-24,438.702942,90.139191,181.399994,29176.916016
2023-07-25,439.900635,89.970192,182.410004,29227.390625
2023-07-26,439.968262,90.059120,183.300003,29354.972656
2023-07-27,437.051300,88.307236,180.419998,29210.689453
2023-07-28,441.330170,88.760765,181.860001,29319.246094
2023-07-31,442.170441,88.974190,182.350006,29230.111328
2023-08-01,440.905182,87.516182,180.460007,29675.732422
2023-08-02,434.771820,86.579819,179.600006,29151.958984
2023-08-03,433.525818,84.582321,179.539993,29178.679688
2023-08-04,431.565125,86.080467,180.190002,29074.091797
2023-08-07,435.332001,85.233284,179.779999,29180.578125
2023-08-08,433.438904,86.223152,178.639999,29765.492188
2023-08-09,430.541290,86.669037,177.789993,29561.494141
2023-08-10,430.695801,85.242226,177.600006,29429.591797
2023-08-11,430.444641,85.046028,177.600006,29397.714844
2023-08-14,432.820740,84.858772,177.059998,29408.443359
2023-08-15,427.778839,84.341576,176.589996,29170.347656
2023-08-16,424.639771,83.681641,175.570007,28701.779297
2023-08-17,421.404053,83.324982,175.300003,26664.550781
2023-08-18,421.606842,83.619240,175.330002,26049.556641
2023-08-21,424.349976,82.504555,175.809998,26124.140625
2023-08-22,423.200531,83.137680,176.100006,26031.656250
2023-08-23,427.914062,85.197624,177.889999,26431.640625
2023-08-24,421.983582,84.635826,177.850006,26162.373047
2023-08-25,424.958496,84.912270,177.619995,26047.667969
2023-08-28,427.653290,85.001472,178.130005,26106.150391
2023-08-29,433.834900,85.884277,179.869995,27727.392578
2023-08-30,435.621704,85.795097,180.320007,27297.265625
2023-08-31,434.984283,86.178558,180.020004,25931.472656
2023-09-01,435.795624,84.836037,180.110001,25800.724609
2023-09-05,433.912201,83.646431,178.639999,25779.982422
2023-09-06,430.995178,83.852180,177.830002,25753.236328
2023-09-07,429.671936,84.084732,178.020004,26240.195312
2023-09-08,430.319061,84.406738,178.080002,25905.654297
2023-09-11,433.149139,83.798500,178.410004,25162.654297
2023-09-12,430.773041,84.281494,177.490005,25833.343750
2023-09-13,431.275299,84.263596,177.080002,26228.324219
2023-09-14,434.993896,83.655380,177.169998,26539.673828
2023-09-15,429.753082,83.145554,178.339996,26608.693359
2023-09-18,430.005005,83.619621,179.389999,26754.281250
2023-09-19,429.113312,83.002457,179.220001,27211.117188
2023-09-20,425.168335,83.261841,179.350006,27132.007812
2023-09-21,418.140930,81.124168,178.050003,26567.632812
2023-09-22,417.200745,81.777084,178.619995,26579.568359
2023-09-25,418.955170,79.764648,177.699997,26298.480469
2023-09-26,412.800201,79.487381,176.279999,26217.250000
2023-09-27,412.964905,79.075966,174.100006,26352.716797
2023-09-28,415.359100,79.317436,173.229996,27021.546875
2023-09-29,414.351044,79.326393,171.449997,26911.720703
2023-10-02,414.186249,77.998451,169.649994,27530.785156
2023-10-03,408.641937,76.320580,169.160004,27429.978516
2023-10-04,411.617676,77.397270,169.139999,27799.394531
2023-10-05,411.462585,77.011444,168.830002,27415.912109
2023-10-06,416.347778,76.078316,169.699997,27946.597656
2023-10-09,419.013306,77.863861,172.820007,27583.677734
2023-10-10,421.194183,77.756165,172.529999,27391.019531
2023-10-11,422.919556,79.380226,173.789993,26873.320312
2023-10-12,420.341248,77.226807,173.259995,26756.798828
2023-10-13,418.247559,78.608589,178.830002,26862.375000
2023-10-16,422.648163,77.343452,177.960007,28519.466797
2023-10-17,422.628754,76.491058,178.289993,28415.748047
2023-10-18,416.997192,75.818108,180.869995,28328.341797
2023-10-19,413.333252,74.265877,183.089996,28719.806641
2023-10-20,408.254242,74.687569,183.589996,29682.949219
2023-10-23,407.546631,75.584831,182.970001,33086.234375
2023-10-24,410.619263,76.580750,182.949997,33901.527344
2023-10-25,404.726044,74.875999,183.720001,34502.820312
2023-10-26,399.879547,76.024498,184.009995,34156.648438
2023-10-27,398.067017,75.701469,186.149994,33909.800781
2023-10-30,402.826172,75.360504,185.100006,34502.363281
2023-10-31,405.356110,74.992645,184.089996,34667.781250
2023-11-01,409.679047,76.618652,183.509995,35437.253906
2023-11-02,417.530304,78.365303,184.119995,34938.242188
2023-11-03,421.339630,78.896492,184.789993,34732.324219
2023-11-06,422.308838,78.131195,183.350006,35037.371094
2023-11-07,423.510803,79.283653,182.589996,35443.562500
2023-11-08,423.820923,80.634140,180.770004,35655.277344
2023-11-09,420.515717,78.779434,181.490005,36693.125000
2023-11-10,427.077759,79.220604,179.509995,37313.968750
2023-11-13,426.670685,79.040558,180.509995,36502.355469
2023-11-14,434.948456,80.832222,182.119995,35537.640625
2023-11-15,435.869202,79.697792,181.639999,37880.582031
2023-11-16,436.402344,80.688179,183.690002,36154.769531
2023-11-17,436.945099,81.066315,183.669998,36596.683594
2023-11-20,440.308563,81.561493,183.369995,37476.957031
2023-11-21,439.348969,81.525490,185.350006,35813.812500
